Invoice,StockCode,Quantity,InvoiceDate,Price,CustomerID,Country,TotalAmount,Month,Description_ASSORTED COLOUR BIRD ORNAMENT,Description_CREAM HANGING HEART T-LIGHT HOLDER,Description_JUMBO BAG RED RETROSPOT,Description_LUNCH BAG  BLACK SKULL.,Description_LUNCH BAG RED RETROSPOT,Description_PARTY BUNTING,Description_POPCORN HOLDER,Description_REGENCY CAKESTAND 3 TIER,Description_SET OF 3 CAKE TINS PANTRY DESIGN 
536520,22197,3,2010-12-01 12:43:00,0.85,u14729,United Kingdom,2.55,12,0,0,0,0,0,0,1,0,0
536522,85099B,1,2010-12-01 12:49:00,1.95,u15012,United Kingdom,1.95,12,0,0,1,0,0,0,0,0,0
536526,85099B,10,2010-12-01 12:58:00,1.95,u14001,United Kingdom,19.5,12,0,0,1,0,0,0,0,0,0
536542,20727,10,2010-12-01 14:11:00,1.65,u16456,United Kingdom,16.5,12,0,0,0,1,0,0,0,0,0
536590,85123A,6,2010-12-01 16:52:00,2.95,u13065,United Kingdom,17.700000000000003,12,0,1,0,0,0,0,0,0,0
536594,85123A,6,2010-12-01 17:22:00,2.95,u15235,United Kingdom,17.700000000000003,12,0,1,0,0,0,0,0,0,0
536597,22197,6,2010-12-01 17:35:00,0.85,u18011,United Kingdom,5.1,12,0,0,0,0,0,0,1,0,0
536600,85123A,6,2010-12-02 08:32:00,2.55,u1785,United Kingdom,15.299999999999999,12,0,1,0,0,0,0,0,0,0
536602,85123A,6,2010-12-02 08:34:00,2.55,u1785,United Kingdom,15.299999999999999,12,0,1,0,0,0,0,0,0,0
536607,85099B,10,2010-12-02 09:29:00,1.95,u17732,United Kingdom,19.5,12,0,0,1,0,0,0,0,0,0
536607,84879,8,2010-12-02 09:29:00,1.69,u17732,United Kingdom,13.52,12,1,0,0,0,0,0,0,0,0
536607,85123A,6,2010-12-02 09:29:00,2.95,u17732,United Kingdom,17.700000000000003,12,0,1,0,0,0,0,0,0,0
536609,85123A,6,2010-12-02 09:41:00,2.55,u1785,United Kingdom,15.299999999999999,12,0,1,0,0,0,0,0,0,0
536612,85123A,6,2010-12-02 09:44:00,2.55,u1785,United Kingdom,15.299999999999999,12,0,1,0,0,0,0,0,0,0
536624,21212,24,2010-12-02 10:45:00,0.55,u13418,United Kingdom,13.200000000000001,12,0,0,0,0,0,0,0,0,0
536628,85123A,6,2010-12-02 10:54:00,2.55,u1785,United Kingdom,15.299999999999999,12,0,1,0,0,0,0,0,0,0
536630,85123A,6,2010-12-02 10:56:00,2.55,u1785,United Kingdom,15.299999999999999,12,0,1,0,0,0,0,0,0,0
536632,85099B,10,2010-12-02 11:02:00,1.95,u14388,United Kingdom,19.5,12,0,0,1,0,0,0,0,0,0
536634,20727,20,2010-12-02 11:21:00,1.65,u18041,United Kingdom,33.0,12,0,0,0,1,0,0,0,0,0
536637,21212,1,2010-12-02 11:35:00,0.55,u18041,United Kingdom,0.55,12,0,0,0,0,0,0,0,0,0
536637,22197,1,2010-12-02 11:35:00,0.85,u18041,United Kingdom,0.85,12,0,0,0,0,0,0,1,0,0
536643,85099B,2,2010-12-02 11:57:00,1.95,u1439,United Kingdom,3.9,12,0,0,1,0,0,0,0,0,0
536643,85099B,3,2010-12-02 11:57:00,1.95,u1439,United Kingdom,5.85,12,0,0,1,0,0,0,0,0,0
536681,84879,8,2010-12-02 12:22:00,1.69,u17287,United Kingdom,13.52,12,1,0,0,0,0,0,0,0,0
536685,85123A,12,2010-12-02 12:23:00,2.55,u1785,United Kingdom,30.599999999999998,12,0,1,0,0,0,0,0,0,0
536690,85123A,6,2010-12-02 12:25:00,2.55,u1785,United Kingdom,15.299999999999999,12,0,1,0,0,0,0,0,0,0
536732,21212,24,2010-12-02 12:47:00,0.55,u15544,United Kingdom,13.200000000000001,12,0,0,0,0,0,0,0,0,0
536741,84879,8,2010-12-02 13:11:00,1.69,u13117,United Kingdom,13.52,12,1,0,0,0,0,0,0,0,0
536749,21212,2,2010-12-02 13:49:00,0.55,u17976,United Kingdom,1.1,12,0,0,0,0,0,0,0,0,0
536749,84879,1,2010-12-02 13:49:00,1.69,u17976,United Kingdom,1.69,12,1,0,0,0,0,0,0,0,0
536749,85123A,1,2010-12-02 13:49:00,2.95,u17976,United Kingdom,2.95,12,0,1,0,0,0,0,0,0,0
536750,85123A,12,2010-12-02 14:04:00,2.55,u1785,United Kingdom,30.599999999999998,12,0,1,0,0,0,0,0,0,0
536752,85123A,6,2010-12-02 14:06:00,2.55,u1785,United Kingdom,15.299999999999999,12,0,1,0,0,0,0,0,0,0
536754,22197,3,2010-12-02 14:09:00,0.85,u14449,United Kingdom,2.55,12,0,0,0,0,0,0,1,0,0
536754,20727,3,2010-12-02 14:09:00,1.65,u14449,United Kingdom,4.949999999999999,12,0,0,0,1,0,0,0,0,0
536763,85123A,12,2010-12-02 14:42:00,2.95,u17685,United Kingdom,35.400000000000006,12,0,1,0,0,0,0,0,0,0
536769,20725,10,2010-12-02 14:47:00,1.65,u17581,United Kingdom,16.5,12,0,0,0,0,1,0,0,0,0
536769,21212,24,2010-12-02 14:47:00,0.55,u17581,United Kingdom,13.200000000000001,12,0,0,0,0,0,0,0,0,0
536769,20727,10,2010-12-02 14:47:00,1.65,u17581,United Kingdom,16.5,12,0,0,0,1,0,0,0,0,0
536777,85099B,20,2010-12-02 15:00:00,1.95,u15732,United Kingdom,39.0,12,0,0,1,0,0,0,0,0,0
536782,22197,12,2010-12-02 15:18:00,0.85,u17567,United Kingdom,10.2,12,0,0,0,0,0,0,1,0,0
536787,85123A,6,2010-12-02 15:24:00,2.55,u1785,United Kingdom,15.299999999999999,12,0,1,0,0,0,0,0,0,0
536790,85123A,12,2010-12-02 15:26:00,2.95,u1785,United Kingdom,35.400000000000006,12,0,1,0,0,0,0,0,0,0
536796,84879,1,2010-12-02 15:46:00,1.69,u15574,United Kingdom,1.69,12,1,0,0,0,0,0,0,0,0
536796,84879,5,2010-12-02 15:46:00,1.69,u15574,United Kingdom,8.45,12,1,0,0,0,0,0,0,0,0
536799,85099B,3,2010-12-02 16:00:00,1.95,u17228,United Kingdom,5.85,12,0,0,1,0,0,0,0,0,0
536821,22197,5,2010-12-02 17:17:00,0.85,u17757,United Kingdom,4.25,12,0,0,0,0,0,0,1,0,0
536833,85123A,6,2010-12-02 17:48:00,2.95,u18239,United Kingdom,17.700000000000003,12,0,1,0,0,0,0,0,0,0
536836,22197,2,2010-12-02 18:08:00,0.85,u18168,United Kingdom,1.7,12,0,0,0,0,0,0,1,0,0
536837,85123A,2,2010-12-02 18:15:00,2.95,u14395,United Kingdom,5.9,12,0,1,0,0,0,0,0,0,0
536841,84879,8,2010-12-02 18:27:00,1.69,u1615,United Kingdom,13.52,12,1,0,0,0,0,0,0,0,0
536845,20727,1,2010-12-02 19:18:00,1.65,u17961,United Kingdom,1.65,12,0,0,0,1,0,0,0,0,0
536845,20725,1,2010-12-02 19:18:00,1.65,u17961,United Kingdom,1.65,12,0,0,0,0,1,0,0,0,0
536857,85123A,2,2010-12-03 10:33:00,2.95,u16883,United Kingdom,5.9,12,0,1,0,0,0,0,0,0,0
536859,85123A,2,2010-12-03 10:43:00,2.95,u12841,United Kingdom,5.9,12,0,1,0,0,0,0,0,0,0
536863,20727,1,2010-12-03 11:19:00,1.65,u17967,United Kingdom,1.65,12,0,0,0,1,0,0,0,0,0
536863,20725,1,2010-12-03 11:19:00,1.65,u17967,United Kingdom,1.65,12,0,0,0,0,1,0,0,0,0
536863,85123A,2,2010-12-03 11:19:00,2.95,u17967,United Kingdom,5.9,12,0,1,0,0,0,0,0,0,0
536874,85099B,3,2010-12-03 11:35:00,1.95,u16891,United Kingdom,5.85,12,0,0,1,0,0,0,0,0,0
536943,84879,8,2010-12-03 12:11:00,1.69,u17884,United Kingdom,13.52,12,1,0,0,0,0,0,0,0,0
536946,84879,16,2010-12-03 12:28:00,1.69,u13013,United Kingdom,27.04,12,1,0,0,0,0,0,0,0,0
536946,21212,24,2010-12-03 12:28:00,0.55,u13013,United Kingdom,13.200000000000001,12,0,0,0,0,0,0,0,0,0
536947,21212,24,2010-12-03 12:29:00,0.55,u13013,United Kingdom,13.200000000000001,12,0,0,0,0,0,0,0,0,0
536956,47566,5,2010-12-03 12:43:00,4.65,u1421,United Kingdom,23.25,12,0,0,0,0,0,1,0,0,0
536976,85123A,7,2010-12-03 14:18:00,2.95,u14723,United Kingdom,20.650000000000002,12,0,1,0,0,0,0,0,0,0
536987,85123A,6,2010-12-03 14:54:00,2.95,u17198,United Kingdom,17.700000000000003,12,0,1,0,0,0,0,0,0,0
536993,85123A,1,2010-12-03 15:19:00,2.95,u14396,United Kingdom,2.95,12,0,1,0,0,0,0,0,0,0
537034,22197,24,2010-12-03 17:20:00,0.85,u13081,United Kingdom,20.4,12,0,0,0,0,0,0,1,0,0
537036,84879,8,2010-12-03 17:28:00,1.69,u15545,United Kingdom,13.52,12,1,0,0,0,0,0,0,0,0
537044,85123A,6,2010-12-05 10:52:00,2.95,u18055,United Kingdom,17.700000000000003,12,0,1,0,0,0,0,0,0,0
537046,85123A,1,2010-12-05 10:58:00,2.95,u18109,United Kingdom,2.95,12,0,1,0,0,0,0,0,0,0
537047,20725,10,2010-12-05 11:02:00,1.65,u13069,United Kingdom,16.5,12,0,0,0,0,1,0,0,0,0
537051,85123A,3,2010-12-05 11:12:00,2.95,u15708,United Kingdom,8.850000000000001,12,0,1,0,0,0,0,0,0,0
537051,85123A,2,2010-12-05 11:12:00,2.95,u15708,United Kingdom,5.9,12,0,1,0,0,0,0,0,0,0
537054,85123A,2,2010-12-05 11:40:00,2.95,u16931,United Kingdom,5.9,12,0,1,0,0,0,0,0,0,0
537054,85123A,1,2010-12-05 11:40:00,2.95,u16931,United Kingdom,2.95,12,0,1,0,0,0,0,0,0,0
537055,85123A,6,2010-12-05 11:45:00,2.95,u16814,United Kingdom,17.700000000000003,12,0,1,0,0,0,0,0,0,0
537055,84879,16,2010-12-05 11:45:00,1.69,u16814,United Kingdom,27.04,12,1,0,0,0,0,0,0,0,0
537057,22197,2,2010-12-05 11:49:00,0.85,u15351,United Kingdom,1.7,12,0,0,0,0,0,0,1,0,0
537057,85099B,4,2010-12-05 11:49:00,1.95,u15351,United Kingdom,7.8,12,0,0,1,0,0,0,0,0,0
537126,85123A,1,2010-12-05 12:13:00,2.95,u18118,United Kingdom,2.95,12,0,1,0,0,0,0,0,0,0
537126,21212,1,2010-12-05 12:13:00,0.55,u18118,United Kingdom,0.55,12,0,0,0,0,0,0,0,0,0
537126,21212,2,2010-12-05 12:13:00,0.55,u18118,United Kingdom,1.1,12,0,0,0,0,0,0,0,0,0
537126,85099B,1,2010-12-05 12:13:00,1.95,u18118,United Kingdom,1.95,12,0,0,1,0,0,0,0,0,0
537128,47566,2,2010-12-05 12:15:00,4.65,u12841,United Kingdom,9.3,12,0,0,0,0,0,1,0,0,0
537131,84879,16,2010-12-05 12:26:00,1.69,u15716,United Kingdom,27.04,12,1,0,0,0,0,0,0,0,0
537133,22197,2,2010-12-05 12:29:00,0.85,u18156,United Kingdom,1.7,12,0,0,0,0,0,0,1,0,0
537135,20725,2,2010-12-05 12:35:00,1.65,u17059,United Kingdom,3.3,12,0,0,0,0,1,0,0,0,0
537135,85099B,3,2010-12-05 12:35:00,1.95,u17059,United Kingdom,5.85,12,0,0,1,0,0,0,0,0,0
537137,84879,13,2010-12-05 12:43:00,1.69,u16327,United Kingdom,21.97,12,1,0,0,0,0,0,0,0,0
537137,20725,4,2010-12-05 12:43:00,1.65,u16327,United Kingdom,6.6,12,0,0,0,0,1,0,0,0,0
537137,20727,2,2010-12-05 12:43:00,1.65,u16327,United Kingdom,3.3,12,0,0,0,1,0,0,0,0,0
537138,85123A,3,2010-12-05 12:44:00,2.95,u17211,United Kingdom,8.850000000000001,12,0,1,0,0,0,0,0,0,0
537142,47566,1,2010-12-05 12:57:00,4.65,u12748,United Kingdom,4.65,12,0,0,0,0,0,1,0,0,0
537144,85123A,1,2010-12-05 13:00:00,2.95,u1588,United Kingdom,2.95,12,0,1,0,0,0,0,0,0,0
537144,22197,4,2010-12-05 13:00:00,0.85,u1588,United Kingdom,3.4,12,0,0,0,0,0,0,1,0,0
537144,85099B,1,2010-12-05 13:00:00,1.95,u1588,United Kingdom,1.95,12,0,0,1,0,0,0,0,0,0
537154,85099B,20,2010-12-05 13:05:00,1.95,u15808,United Kingdom,39.0,12,0,0,1,0,0,0,0,0,0
537176,21212,3,2010-12-05 13:26:00,0.55,u16411,United Kingdom,1.6500000000000001,12,0,0,0,0,0,0,0,0,0
537196,84879,4,2010-12-05 13:55:00,1.69,u15426,United Kingdom,6.76,12,1,0,0,0,0,0,0,0,0
537199,22197,1,2010-12-05 14:06:00,0.85,u15894,United Kingdom,0.85,12,0,0,0,0,0,0,1,0,0
537199,21212,3,2010-12-05 14:06:00,0.55,u15894,United Kingdom,1.6500000000000001,12,0,0,0,0,0,0,0,0,0
537204,84879,8,2010-12-05 14:45:00,1.69,u15555,United Kingdom,13.52,12,1,0,0,0,0,0,0,0,0
537205,84879,8,2010-12-05 14:52:00,1.69,u13034,United Kingdom,13.52,12,1,0,0,0,0,0,0,0,0
537208,84879,8,2010-12-05 15:12:00,1.69,u15889,United Kingdom,13.52,12,1,0,0,0,0,0,0,0,0
537210,84879,8,2010-12-05 15:15:00,1.69,u15953,United Kingdom,13.52,12,1,0,0,0,0,0,0,0,0
537211,20725,10,2010-12-05 15:18:00,1.65,u16143,United Kingdom,16.5,12,0,0,0,0,1,0,0,0,0
537215,84879,16,2010-12-05 15:38:00,1.69,u12747,United Kingdom,27.04,12,1,0,0,0,0,0,0,0,0
537219,21212,12,2010-12-05 15:47:00,0.55,u14081,United Kingdom,6.6000000000000005,12,0,0,0,0,0,0,0,0,0
537222,20727,10,2010-12-05 16:00:00,1.65,u14404,United Kingdom,16.5,12,0,0,0,1,0,0,0,0,0
537224,85123A,12,2010-12-05 16:24:00,2.95,u13174,United Kingdom,35.400000000000006,12,0,1,0,0,0,0,0,0,0
537238,85099B,5,2010-12-06 10:03:00,1.95,u16161,United Kingdom,9.75,12,0,0,1,0,0,0,0,0,0
537239,85123A,6,2010-12-06 10:05:00,2.95,u18219,United Kingdom,17.700000000000003,12,0,1,0,0,0,0,0,0,0
537239,84879,8,2010-12-06 10:05:00,1.69,u18219,United Kingdom,13.52,12,1,0,0,0,0,0,0,0,0
537242,85123A,6,2010-12-06 10:19:00,2.95,u14748,United Kingdom,17.700000000000003,12,0,1,0,0,0,0,0,0,0
537265,22197,6,2010-12-06 11:26:00,0.85,u15919,United Kingdom,5.1,12,0,0,0,0,0,0,1,0,0
537265,22197,5,2010-12-06 11:26:00,0.85,u15919,United Kingdom,4.25,12,0,0,0,0,0,0,1,0,0
537262,85099B,10,2010-12-06 11:26:00,1.95,u15039,United Kingdom,19.5,12,0,0,1,0,0,0,0,0,0
537301,85123A,4,2010-12-06 11:38:00,2.95,u1586,United Kingdom,11.8,12,0,1,0,0,0,0,0,0,0
537334,85123A,6,2010-12-06 12:06:00,2.95,u16719,United Kingdom,17.700000000000003,12,0,1,0,0,0,0,0,0,0
537354,85099B,6,2010-12-06 12:23:00,1.95,u12748,United Kingdom,11.7,12,0,0,1,0,0,0,0,0,0
537354,20725,2,2010-12-06 12:23:00,1.65,u12748,United Kingdom,3.3,12,0,0,0,0,1,0,0,0,0
537354,20727,2,2010-12-06 12:23:00,1.65,u12748,United Kingdom,3.3,12,0,0,0,1,0,0,0,0,0
537362,84879,8,2010-12-06 12:34:00,1.69,u17596,United Kingdom,13.52,12,1,0,0,0,0,0,0,0,0
537365,85099B,20,2010-12-06 12:38:00,1.95,u15078,United Kingdom,39.0,12,0,0,1,0,0,0,0,0,0
537369,85099B,1,2010-12-06 12:41:00,1.95,u1786,United Kingdom,1.95,12,0,0,1,0,0,0,0,0,0
537372,85099B,1,2010-12-06 12:52:00,1.95,u16919,United Kingdom,1.95,12,0,0,1,0,0,0,0,0,0
537374,22197,3,2010-12-06 12:55:00,0.85,u17259,United Kingdom,2.55,12,0,0,0,0,0,0,1,0,0
537388,85123A,12,2010-12-06 13:35:00,2.95,u17682,United Kingdom,35.400000000000006,12,0,1,0,0,0,0,0,0,0
537388,20725,20,2010-12-06 13:35:00,1.65,u17682,United Kingdom,33.0,12,0,0,0,0,1,0,0,0,0
537388,20727,20,2010-12-06 13:35:00,1.65,u17682,United Kingdom,33.0,12,0,0,0,1,0,0,0,0,0
537389,22197,10,2010-12-06 13:41:00,0.85,u17757,United Kingdom,8.5,12,0,0,0,0,0,0,1,0,0
537391,22197,25,2010-12-06 13:53:00,0.85,u1655,United Kingdom,21.25,12,0,0,0,0,0,0,1,0,0
537392,85099B,6,2010-12-06 13:58:00,1.95,u17068,United Kingdom,11.7,12,0,0,1,0,0,0,0,0,0
537392,20727,5,2010-12-06 13:58:00,1.65,u17068,United Kingdom,8.25,12,0,0,0,1,0,0,0,0,0
537392,20725,5,2010-12-06 13:58:00,1.65,u17068,United Kingdom,8.25,12,0,0,0,0,1,0,0,0,0
537395,85123A,2,2010-12-06 14:05:00,2.95,u15356,United Kingdom,5.9,12,0,1,0,0,0,0,0,0,0
537396,84879,2,2010-12-06 14:08:00,1.69,u17223,United Kingdom,3.38,12,1,0,0,0,0,0,0,0,0
537396,84879,8,2010-12-06 14:08:00,1.69,u17223,United Kingdom,13.52,12,1,0,0,0,0,0,0,0,0
537400,85123A,6,2010-12-06 14:36:00,2.95,u17191,United Kingdom,17.700000000000003,12,0,1,0,0,0,0,0,0,0
537420,47566,5,2010-12-06 15:18:00,4.65,u17519,United Kingdom,23.25,12,0,0,0,0,0,1,0,0,0
537421,84879,8,2010-12-06 15:25:00,1.69,u17218,United Kingdom,13.52,12,1,0,0,0,0,0,0,0,0
537424,85123A,6,2010-12-06 15:35:00,2.95,u15602,United Kingdom,17.700000000000003,12,0,1,0,0,0,0,0,0,0
537433,84879,8,2010-12-06 16:36:00,1.69,u12913,United Kingdom,13.52,12,1,0,0,0,0,0,0,0,0
537440,47566,1,2010-12-06 17:16:00,4.65,u17869,United Kingdom,4.65,12,0,0,0,0,0,1,0,0,0
537446,85123A,6,2010-12-07 09:13:00,2.95,u18055,United Kingdom,17.700000000000003,12,0,1,0,0,0,0,0,0,0
537462,20727,4,2010-12-07 10:06:00,1.65,u17228,United Kingdom,6.6,12,0,0,0,1,0,0,0,0,0
537464,84879,8,2010-12-07 10:14:00,1.69,u14907,United Kingdom,13.52,12,1,0,0,0,0,0,0,0,0
537465,20727,10,2010-12-07 10:32:00,1.65,u17735,United Kingdom,16.5,12,0,0,0,1,0,0,0,0,0
537489,22197,24,2010-12-07 11:33:00,0.85,u17017,United Kingdom,20.4,12,0,0,0,0,0,0,1,0,0
537523,85123A,6,2010-12-07 11:45:00,2.95,u14176,United Kingdom,17.700000000000003,12,0,1,0,0,0,0,0,0,0
537593,20727,20,2010-12-07 12:21:00,1.65,u14282,United Kingdom,33.0,12,0,0,0,1,0,0,0,0,0
537595,22197,5,2010-12-07 12:29:00,0.85,u13569,United Kingdom,4.25,12,0,0,0,0,0,0,1,0,0
537601,84879,7,2010-12-07 12:43:00,1.69,u17287,United Kingdom,11.83,12,1,0,0,0,0,0,0,0,0
537603,21212,24,2010-12-07 12:49:00,0.55,u14673,United Kingdom,13.200000000000001,12,0,0,0,0,0,0,0,0,0
537604,21212,24,2010-12-07 13:01:00,0.55,u13488,United Kingdom,13.200000000000001,12,0,0,0,0,0,0,0,0,0
537604,84879,8,2010-12-07 13:01:00,1.69,u13488,United Kingdom,13.52,12,1,0,0,0,0,0,0,0,0
537605,85123A,5,2010-12-07 13:13:00,2.95,u16221,United Kingdom,14.75,12,0,1,0,0,0,0,0,0,0
537607,85123A,6,2010-12-07 13:18:00,2.95,u15965,United Kingdom,17.700000000000003,12,0,1,0,0,0,0,0,0,0
537607,85099B,4,2010-12-07 13:18:00,1.95,u15965,United Kingdom,7.8,12,0,0,1,0,0,0,0,0,0
537608,84879,16,2010-12-07 13:20:00,1.69,u15024,United Kingdom,27.04,12,1,0,0,0,0,0,0,0,0
537612,85123A,6,2010-12-07 13:28:00,2.95,u13769,United Kingdom,17.700000000000003,12,0,1,0,0,0,0,0,0,0
537614,85099B,1,2010-12-07 13:29:00,1.95,u16904,United Kingdom,1.95,12,0,0,1,0,0,0,0,0,0
537617,85099B,10,2010-12-07 13:45:00,1.95,u16086,United Kingdom,19.5,12,0,0,1,0,0,0,0,0,0
537629,84879,8,2010-12-07 15:03:00,1.69,u17419,United Kingdom,13.52,12,1,0,0,0,0,0,0,0,0
537629,21212,24,2010-12-07 15:03:00,0.55,u17419,United Kingdom,13.200000000000001,12,0,0,0,0,0,0,0,0,0
537646,21212,1,2010-12-07 15:39:00,0.55,u17591,United Kingdom,0.55,12,0,0,0,0,0,0,0,0,0
537650,85099B,10,2010-12-07 15:48:00,1.95,u16125,United Kingdom,19.5,12,0,0,1,0,0,0,0,0,0
537650,85123A,12,2010-12-07 15:48:00,2.95,u16125,United Kingdom,35.400000000000006,12,0,1,0,0,0,0,0,0,0
537648,22197,24,2010-12-07 15:48:00,0.85,u12839,United Kingdom,20.4,12,0,0,0,0,0,0,1,0,0
537655,85123A,6,2010-12-07 16:20:00,2.95,u15081,United Kingdom,17.700000000000003,12,0,1,0,0,0,0,0,0,0
537669,85123A,12,2010-12-08 08:58:00,2.95,u16863,United Kingdom,35.400000000000006,12,0,1,0,0,0,0,0,0,0
537674,21212,24,2010-12-08 09:51:00,0.55,u15628,United Kingdom,13.200000000000001,12,0,0,0,0,0,0,0,0,0
537674,85123A,6,2010-12-08 09:51:00,2.95,u15628,United Kingdom,17.700000000000003,12,0,1,0,0,0,0,0,0,0
537683,20725,20,2010-12-08 10:14:00,1.65,u12921,United Kingdom,33.0,12,0,0,0,0,1,0,0,0,0
537683,21212,24,2010-12-08 10:14:00,0.55,u12921,United Kingdom,13.200000000000001,12,0,0,0,0,0,0,0,0,0
537691,47566,5,2010-12-08 10:39:00,4.65,u13842,United Kingdom,23.25,12,0,0,0,0,0,1,0,0,0
537691,84879,8,2010-12-08 10:39:00,1.69,u13842,United Kingdom,13.52,12,1,0,0,0,0,0,0,0,0
537692,21212,4,2010-12-08 10:40:00,0.55,u14796,United Kingdom,2.2,12,0,0,0,0,0,0,0,0,0
537754,85123A,3,2010-12-08 11:16:00,2.95,u16081,United Kingdom,8.850000000000001,12,0,1,0,0,0,0,0,0,0
537755,85099B,10,2010-12-08 11:31:00,1.95,u16525,United Kingdom,19.5,12,0,0,1,0,0,0,0,0,0
537762,85099B,10,2010-12-08 12:01:00,1.95,u16558,United Kingdom,19.5,12,0,0,1,0,0,0,0,0,0
537764,84879,3,2010-12-08 12:06:00,1.69,u16893,United Kingdom,5.07,12,1,0,0,0,0,0,0,0,0
537764,85123A,1,2010-12-08 12:06:00,2.95,u16893,United Kingdom,2.95,12,0,1,0,0,0,0,0,0,0
537768,85099B,10,2010-12-08 12:11:00,1.95,u1575,United Kingdom,19.5,12,0,0,1,0,0,0,0,0,0
537769,85123A,1,2010-12-08 12:17:00,2.95,u15021,United Kingdom,2.95,12,0,1,0,0,0,0,0,0,0
537769,85123A,2,2010-12-08 12:17:00,2.95,u15021,United Kingdom,5.9,12,0,1,0,0,0,0,0,0,0
537772,21212,2,2010-12-08 12:35:00,0.55,u18043,United Kingdom,1.1,12,0,0,0,0,0,0,0,0,0
537773,20725,1,2010-12-08 12:36:00,1.65,u16016,United Kingdom,1.65,12,0,0,0,0,1,0,0,0,0
537773,20727,4,2010-12-08 12:36:00,1.65,u16016,United Kingdom,6.6,12,0,0,0,1,0,0,0,0,0
