Invoice,StockCode,Quantity,InvoiceDate,Price,CustomerID,Country,TotalAmount
536412,20725,1,2010-12-01 11:49:00,1.65,u1792,United Kingdom,1.65
536415,21212,2,2010-12-01 11:57:00,0.55,u12838,United Kingdom,1.1
536460,84879,24,2010-12-01 12:22:00,1.69,u14849,United Kingdom,40.56
536464,85099B,1,2010-12-01 12:23:00,1.95,u17968,United Kingdom,1.95
536464,84879,8,2010-12-01 12:23:00,1.69,u17968,United Kingdom,13.52
536464,22197,5,2010-12-01 12:23:00,0.85,u17968,United Kingdom,4.25
536464,21212,1,2010-12-01 12:23:00,0.55,u17968,United Kingdom,0.55
536464,21212,2,2010-12-01 12:23:00,0.55,u17968,United Kingdom,1.1
536464,22197,6,2010-12-01 12:23:00,0.85,u17968,United Kingdom,5.1
536477,22423,16,2010-12-01 12:27:00,10.95,u1621,United Kingdom,175.2
536502,84879,16,2010-12-01 12:36:00,1.69,u16552,United Kingdom,27.04
536502,85123A,6,2010-12-01 12:36:00,2.95,u16552,United Kingdom,17.700000000000003
536502,22423,2,2010-12-01 12:36:00,12.75,u16552,United Kingdom,25.5
536520,85123A,3,2010-12-01 12:43:00,2.95,u14729,United Kingdom,8.850000000000001
536520,22197,3,2010-12-01 12:43:00,0.85,u14729,United Kingdom,2.55
536522,85099B,1,2010-12-01 12:49:00,1.95,u15012,United Kingdom,1.95
536525,22423,2,2010-12-01 12:54:00,12.75,u14078,United Kingdom,25.5
536526,85099B,10,2010-12-01 12:58:00,1.95,u14001,United Kingdom,19.5
536528,22423,1,2010-12-01 13:17:00,12.75,u15525,United Kingdom,12.75
536530,22423,1,2010-12-01 13:21:00,12.75,u17905,United Kingdom,12.75
536536,84879,80,2010-12-01 13:45:00,1.69,u18144,United Kingdom,135.2
536537,22423,2,2010-12-01 13:51:00,12.75,u15922,United Kingdom,25.5
536539,22423,2,2010-12-01 14:03:00,12.75,u15165,United Kingdom,25.5
536542,20727,10,2010-12-01 14:11:00,1.65,u16456,United Kingdom,16.5
536542,85099B,40,2010-12-01 14:11:00,1.95,u16456,United Kingdom,78.0
536542,85123A,32,2010-12-01 14:11:00,2.95,u16456,United Kingdom,94.4
536544,22197,2,2010-12-01 14:32:00,1.66,,United Kingdom,3.32
536544,22423,40,2010-12-01 14:32:00,12.72,,United Kingdom,508.8
536544,85099B,1,2010-12-01 14:32:00,4.21,,United Kingdom,4.21
536544,85123A,4,2010-12-01 14:32:00,5.91,,United Kingdom,23.64
536544,20725,4,2010-12-01 14:32:00,4.21,,United Kingdom,16.84
536544,21212,8,2010-12-01 14:32:00,1.28,,United Kingdom,10.24
536562,22423,2,2010-12-01 15:08:00,12.75,u13468,United Kingdom,25.5
536575,85099B,70,2010-12-01 16:01:00,1.65,u13777,United Kingdom,115.5
536575,85123A,128,2010-12-01 16:01:00,2.55,u13777,United Kingdom,326.4
536576,20727,60,2010-12-01 16:11:00,1.45,u13777,United Kingdom,87.0
536576,85099B,30,2010-12-01 16:11:00,1.65,u13777,United Kingdom,49.5
536576,85123A,128,2010-12-01 16:11:00,2.55,u13777,United Kingdom,326.4
536577,20725,60,2010-12-01 16:13:00,1.45,u13777,United Kingdom,87.0
536579,20727,60,2010-12-01 16:16:00,1.45,u13777,United Kingdom,87.0
536581,85099B,200,2010-12-01 16:19:00,1.65,u13777,United Kingdom,330.0
536590,85123A,6,2010-12-01 16:52:00,2.95,u13065,United Kingdom,17.700000000000003
536592,20725,2,2010-12-01 17:06:00,4.21,,United Kingdom,8.42
536592,20727,2,2010-12-01 17:06:00,4.21,,United Kingdom,8.42
536592,21212,12,2010-12-01 17:06:00,1.28,,United Kingdom,15.36
536592,22197,34,2010-12-01 17:06:00,1.66,,United Kingdom,56.44
536592,22423,47,2010-12-01 17:06:00,12.72,,United Kingdom,597.84
536592,84879,8,2010-12-01 17:06:00,3.19,,United Kingdom,25.52
536592,85099B,1,2010-12-01 17:06:00,4.21,,United Kingdom,4.21
536592,85123A,9,2010-12-01 17:06:00,5.91,,United Kingdom,53.19
536594,85123A,6,2010-12-01 17:22:00,2.95,u15235,United Kingdom,17.700000000000003
536597,22197,6,2010-12-01 17:35:00,0.85,u18011,United Kingdom,5.1
536600,85123A,6,2010-12-02 08:32:00,2.55,u1785,United Kingdom,15.299999999999999
536602,85123A,6,2010-12-02 08:34:00,2.55,u1785,United Kingdom,15.299999999999999
536607,85099B,10,2010-12-02 09:29:00,1.95,u17732,United Kingdom,19.5
536607,84879,8,2010-12-02 09:29:00,1.69,u17732,United Kingdom,13.52
536607,22423,1,2010-12-02 09:29:00,12.75,u17732,United Kingdom,12.75
536607,85123A,6,2010-12-02 09:29:00,2.95,u17732,United Kingdom,17.700000000000003
536609,85123A,6,2010-12-02 09:41:00,2.55,u1785,United Kingdom,15.299999999999999
536612,85123A,6,2010-12-02 09:44:00,2.55,u1785,United Kingdom,15.299999999999999
536618,22197,48,2010-12-02 10:17:00,0.85,u17017,United Kingdom,40.8
536620,21212,120,2010-12-02 10:27:00,0.42,u14135,United Kingdom,50.4
536624,21212,24,2010-12-02 10:45:00,0.55,u13418,United Kingdom,13.200000000000001
536627,22423,4,2010-12-02 10:53:00,12.75,u15658,United Kingdom,51.0
536628,85123A,6,2010-12-02 10:54:00,2.55,u1785,United Kingdom,15.299999999999999
536630,85123A,6,2010-12-02 10:56:00,2.55,u1785,United Kingdom,15.299999999999999
536632,85099B,10,2010-12-02 11:02:00,1.95,u14388,United Kingdom,19.5
536634,20727,20,2010-12-02 11:21:00,1.65,u18041,United Kingdom,33.0
536637,21212,1,2010-12-02 11:35:00,0.55,u18041,United Kingdom,0.55
536637,22197,1,2010-12-02 11:35:00,0.85,u18041,United Kingdom,0.85
536643,85099B,2,2010-12-02 11:57:00,1.95,u1439,United Kingdom,3.9
536643,85099B,3,2010-12-02 11:57:00,1.95,u1439,United Kingdom,5.85
536667,22423,4,2010-12-02 12:09:00,12.75,u1526,United Kingdom,51.0
536681,84879,8,2010-12-02 12:22:00,1.69,u17287,United Kingdom,13.52
536681,22423,3,2010-12-02 12:22:00,12.75,u17287,United Kingdom,38.25
536685,85123A,12,2010-12-02 12:23:00,2.55,u1785,United Kingdom,30.599999999999998
536690,85123A,6,2010-12-02 12:25:00,2.55,u1785,United Kingdom,15.299999999999999
536707,22423,2,2010-12-02 12:33:00,12.75,u12915,United Kingdom,25.5
536732,22423,2,2010-12-02 12:47:00,12.75,u15544,United Kingdom,25.5
536732,21212,24,2010-12-02 12:47:00,0.55,u15544,United Kingdom,13.200000000000001
536741,84879,8,2010-12-02 13:11:00,1.69,u13117,United Kingdom,13.52
536744,22423,6,2010-12-02 13:36:00,12.75,u14466,United Kingdom,76.5
536749,21212,2,2010-12-02 13:49:00,0.55,u17976,United Kingdom,1.1
536749,84879,1,2010-12-02 13:49:00,1.69,u17976,United Kingdom,1.69
536749,85123A,1,2010-12-02 13:49:00,2.95,u17976,United Kingdom,2.95
536750,85123A,12,2010-12-02 14:04:00,2.55,u1785,United Kingdom,30.599999999999998
536752,85123A,6,2010-12-02 14:06:00,2.55,u1785,United Kingdom,15.299999999999999
536754,22197,3,2010-12-02 14:09:00,0.85,u14449,United Kingdom,2.55
536754,20727,3,2010-12-02 14:09:00,1.65,u14449,United Kingdom,4.949999999999999
536756,22197,3,2010-12-02 14:23:00,0.85,,United Kingdom,2.55
536763,85123A,12,2010-12-02 14:42:00,2.95,u17685,United Kingdom,35.400000000000006
536769,20725,10,2010-12-02 14:47:00,1.65,u17581,United Kingdom,16.5
536769,21212,24,2010-12-02 14:47:00,0.55,u17581,United Kingdom,13.200000000000001
536769,20727,10,2010-12-02 14:47:00,1.65,u17581,United Kingdom,16.5
536777,85099B,20,2010-12-02 15:00:00,1.95,u15732,United Kingdom,39.0
536782,22197,12,2010-12-02 15:18:00,0.85,u17567,United Kingdom,10.2
536783,21212,120,2010-12-02 15:19:00,0.42,u15061,United Kingdom,50.4
536784,21212,120,2010-12-02 15:20:00,0.42,u15061,United Kingdom,50.4
536785,84879,320,2010-12-02 15:22:00,1.45,u15061,United Kingdom,464.0
536785,22423,144,2010-12-02 15:22:00,10.95,u15061,United Kingdom,1576.8
536787,85123A,6,2010-12-02 15:24:00,2.55,u1785,United Kingdom,15.299999999999999
536790,85123A,12,2010-12-02 15:26:00,2.95,u1785,United Kingdom,35.400000000000006
536795,85123A,32,2010-12-02 15:40:00,2.55,u1564,United Kingdom,81.6
536796,84879,1,2010-12-02 15:46:00,1.69,u15574,United Kingdom,1.69
536796,84879,5,2010-12-02 15:46:00,1.69,u15574,United Kingdom,8.45
536799,85099B,3,2010-12-02 16:00:00,1.95,u17228,United Kingdom,5.85
536804,22423,16,2010-12-02 16:34:00,10.95,u14031,United Kingdom,175.2
536804,84879,48,2010-12-02 16:34:00,1.69,u14031,United Kingdom,81.12
536808,22423,1,2010-12-02 16:46:00,12.75,u17659,United Kingdom,12.75
536821,22197,5,2010-12-02 17:17:00,0.85,u17757,United Kingdom,4.25
536824,85123A,160,2010-12-02 17:24:00,2.55,u13798,United Kingdom,408.0
536833,85123A,6,2010-12-02 17:48:00,2.95,u18239,United Kingdom,17.700000000000003
536836,22197,2,2010-12-02 18:08:00,0.85,u18168,United Kingdom,1.7
536837,85123A,2,2010-12-02 18:15:00,2.95,u14395,United Kingdom,5.9
536839,84879,96,2010-12-02 18:25:00,1.69,u15093,United Kingdom,162.24
536841,84879,8,2010-12-02 18:27:00,1.69,u1615,United Kingdom,13.52
536845,20727,1,2010-12-02 19:18:00,1.65,u17961,United Kingdom,1.65
536845,20725,1,2010-12-02 19:18:00,1.65,u17961,United Kingdom,1.65
536846,22423,1,2010-12-02 19:59:00,12.75,u14573,United Kingdom,12.75
536856,22423,2,2010-12-03 10:26:00,12.75,u1337,United Kingdom,25.5
536857,85123A,2,2010-12-03 10:33:00,2.95,u16883,United Kingdom,5.9
536859,85123A,2,2010-12-03 10:43:00,2.95,u12841,United Kingdom,5.9
536862,20725,3,2010-12-03 11:13:00,5.06,,United Kingdom,15.18
536862,22197,8,2010-12-03 11:13:00,1.66,,United Kingdom,13.28
536862,22423,6,2010-12-03 11:13:00,25.49,,United Kingdom,152.94
536862,85099B,2,2010-12-03 11:13:00,4.21,,United Kingdom,8.42
536863,20727,1,2010-12-03 11:19:00,1.65,u17967,United Kingdom,1.65
536863,20725,1,2010-12-03 11:19:00,1.65,u17967,United Kingdom,1.65
536863,20727,1,2010-12-03 11:19:00,1.65,u17967,United Kingdom,1.65
536863,85123A,2,2010-12-03 11:19:00,2.95,u17967,United Kingdom,5.9
536864,20725,2,2010-12-03 11:27:00,5.06,,United Kingdom,10.12
536864,47566,1,2010-12-03 11:27:00,9.32,,United Kingdom,9.32
536864,85099B,1,2010-12-03 11:27:00,4.21,,United Kingdom,4.21
536865,20725,5,2010-12-03 11:28:00,5.06,,United Kingdom,25.299999999999997
536865,22197,16,2010-12-03 11:28:00,1.66,,United Kingdom,26.56
536865,47566,3,2010-12-03 11:28:00,9.32,,United Kingdom,27.96
536865,85099B,1,2010-12-03 11:28:00,4.21,,United Kingdom,4.21
536874,85099B,3,2010-12-03 11:35:00,1.95,u16891,United Kingdom,5.85
536876,22197,19,2010-12-03 11:36:00,1.66,,United Kingdom,31.54
536876,22423,40,2010-12-03 11:36:00,12.72,,United Kingdom,508.8
536876,47566,2,2010-12-03 11:36:00,8.47,,United Kingdom,16.94
536876,84879,8,2010-12-03 11:36:00,3.19,,United Kingdom,25.52
536876,85099B,2,2010-12-03 11:36:00,4.21,,United Kingdom,8.42
536876,85123A,5,2010-12-03 11:36:00,5.91,,United Kingdom,29.55
536876,20725,2,2010-12-03 11:36:00,4.21,,United Kingdom,8.42
536876,84879,8,2010-12-03 11:36:00,1.69,,United Kingdom,13.52
536876,20727,1,2010-12-03 11:36:00,4.21,,United Kingdom,4.21
536876,21212,4,2010-12-03 11:36:00,1.28,,United Kingdom,5.12
536943,84879,8,2010-12-03 12:11:00,1.69,u17884,United Kingdom,13.52
536946,84879,16,2010-12-03 12:28:00,1.69,u13013,United Kingdom,27.04
536946,21212,24,2010-12-03 12:28:00,0.55,u13013,United Kingdom,13.200000000000001
536947,21212,24,2010-12-03 12:29:00,0.55,u13013,United Kingdom,13.200000000000001
536947,22423,3,2010-12-03 12:29:00,12.75,u13013,United Kingdom,38.25
536956,22423,1,2010-12-03 12:43:00,12.75,u1421,United Kingdom,12.75
536956,47566,5,2010-12-03 12:43:00,4.65,u1421,United Kingdom,23.25
536970,22423,120,2010-12-03 13:12:00,10.95,u17949,United Kingdom,1314.0
536976,85123A,7,2010-12-03 14:18:00,2.95,u14723,United Kingdom,20.650000000000002
536980,22423,16,2010-12-03 14:26:00,10.95,u17819,United Kingdom,175.2
536982,20727,4,2010-12-03 14:27:00,5.06,,United Kingdom,20.24
536982,21212,82,2010-12-03 14:27:00,2.13,,United Kingdom,174.66
536982,22423,33,2010-12-03 14:27:00,25.49,,United Kingdom,841.17
536985,22423,6,2010-12-03 14:40:00,12.75,u15373,United Kingdom,76.5
536987,85123A,6,2010-12-03 14:54:00,2.95,u17198,United Kingdom,17.700000000000003
536993,85123A,1,2010-12-03 15:19:00,2.95,u14396,United Kingdom,2.95
537034,22197,24,2010-12-03 17:20:00,0.85,u13081,United Kingdom,20.4
537036,84879,8,2010-12-03 17:28:00,1.69,u15545,United Kingdom,13.52
537038,22423,16,2010-12-05 10:12:00,10.95,u15465,United Kingdom,175.2
537040,22423,48,2010-12-05 10:27:00,10.95,u13089,United Kingdom,525.5999999999999
537042,22423,1,2010-12-05 10:45:00,12.75,u13838,United Kingdom,12.75
537044,85123A,6,2010-12-05 10:52:00,2.95,u18055,United Kingdom,17.700000000000003
537046,85123A,1,2010-12-05 10:58:00,2.95,u18109,United Kingdom,2.95
537047,20725,10,2010-12-05 11:02:00,1.65,u13069,United Kingdom,16.5
537051,85123A,3,2010-12-05 11:12:00,2.95,u15708,United Kingdom,8.850000000000001
537051,85123A,2,2010-12-05 11:12:00,2.95,u15708,United Kingdom,5.9
537052,22423,16,2010-12-05 11:15:00,10.95,u16839,United Kingdom,175.2
537054,85123A,2,2010-12-05 11:40:00,2.95,u16931,United Kingdom,5.9
537054,85123A,1,2010-12-05 11:40:00,2.95,u16931,United Kingdom,2.95
537055,85123A,6,2010-12-05 11:45:00,2.95,u16814,United Kingdom,17.700000000000003
537055,84879,16,2010-12-05 11:45:00,1.69,u16814,United Kingdom,27.04
537057,22197,2,2010-12-05 11:49:00,0.85,u15351,United Kingdom,1.7
537057,85099B,4,2010-12-05 11:49:00,1.95,u15351,United Kingdom,7.8
537126,85123A,1,2010-12-05 12:13:00,2.95,u18118,United Kingdom,2.95
537126,21212,1,2010-12-05 12:13:00,0.55,u18118,United Kingdom,0.55
537126,21212,2,2010-12-05 12:13:00,0.55,u18118,United Kingdom,1.1
537126,85099B,1,2010-12-05 12:13:00,1.95,u18118,United Kingdom,1.95
537127,85123A,128,2010-12-05 12:13:00,2.55,u13831,United Kingdom,326.4
537128,47566,2,2010-12-05 12:15:00,4.65,u12841,United Kingdom,9.3
537131,84879,16,2010-12-05 12:26:00,1.69,u15716,United Kingdom,27.04
537133,22197,2,2010-12-05 12:29:00,0.85,u18156,United Kingdom,1.7
537135,22423,1,2010-12-05 12:35:00,12.75,u17059,United Kingdom,12.75
537135,20725,2,2010-12-05 12:35:00,1.65,u17059,United Kingdom,3.3
537135,85099B,3,2010-12-05 12:35:00,1.95,u17059,United Kingdom,5.85
537137,84879,13,2010-12-05 12:43:00,1.69,u16327,United Kingdom,21.97
537137,20725,4,2010-12-05 12:43:00,1.65,u16327,United Kingdom,6.6
537137,20727,2,2010-12-05 12:43:00,1.65,u16327,United Kingdom,3.3
537138,85123A,3,2010-12-05 12:44:00,2.95,u17211,United Kingdom,8.850000000000001
537139,22423,1,2010-12-05 12:47:00,12.75,u17026,United Kingdom,12.75
537142,47566,1,2010-12-05 12:57:00,4.65,u12748,United Kingdom,4.65
537144,85123A,1,2010-12-05 13:00:00,2.95,u1588,United Kingdom,2.95
537144,22197,4,2010-12-05 13:00:00,0.85,u1588,United Kingdom,3.4
537144,85099B,1,2010-12-05 13:00:00,1.95,u1588,United Kingdom,1.95
537154,85099B,20,2010-12-05 13:05:00,1.95,u15808,United Kingdom,39.0
537176,21212,3,2010-12-05 13:26:00,0.55,u16411,United Kingdom,1.6500000000000001
537179,84879,32,2010-12-05 13:29:00,1.69,u13767,United Kingdom,54.08
537196,84879,4,2010-12-05 13:55:00,1.69,u15426,United Kingdom,6.76
537199,22197,1,2010-12-05 14:06:00,0.85,u15894,United Kingdom,0.85
537199,21212,3,2010-12-05 14:06:00,0.55,u15894,United Kingdom,1.6500000000000001
537204,84879,8,2010-12-05 14:45:00,1.69,u15555,United Kingdom,13.52
537205,84879,8,2010-12-05 14:52:00,1.69,u13034,United Kingdom,13.52
537208,84879,8,2010-12-05 15:12:00,1.69,u15889,United Kingdom,13.52
537210,85123A,32,2010-12-05 15:15:00,2.55,u15953,United Kingdom,81.6
537210,84879,8,2010-12-05 15:15:00,1.69,u15953,United Kingdom,13.52
537211,20725,10,2010-12-05 15:18:00,1.65,u16143,United Kingdom,16.5
537215,84879,16,2010-12-05 15:38:00,1.69,u12747,United Kingdom,27.04
537216,22197,48,2010-12-05 15:40:00,0.85,u15502,United Kingdom,40.8
537219,22423,2,2010-12-05 15:47:00,12.75,u14081,United Kingdom,25.5
537219,21212,12,2010-12-05 15:47:00,0.55,u14081,United Kingdom,6.6000000000000005
537222,20727,10,2010-12-05 16:00:00,1.65,u14404,United Kingdom,16.5
537222,22423,1,2010-12-05 16:00:00,12.75,u14404,United Kingdom,12.75
537224,85123A,12,2010-12-05 16:24:00,2.95,u13174,United Kingdom,35.400000000000006
537227,21212,120,2010-12-06 08:42:00,0.42,u17677,United Kingdom,50.4
537227,85099B,100,2010-12-06 08:42:00,1.65,u17677,United Kingdom,165.0
537237,20725,1,2010-12-06 09:58:00,4.21,,United Kingdom,4.21
537237,20727,1,2010-12-06 09:58:00,4.21,,United Kingdom,4.21
537237,21212,11,2010-12-06 09:58:00,1.28,,United Kingdom,14.08
537237,22197,25,2010-12-06 09:58:00,1.66,,United Kingdom,41.5
537237,22423,48,2010-12-06 09:58:00,12.72,,United Kingdom,610.5600000000001
537237,84879,16,2010-12-06 09:58:00,3.19,,United Kingdom,51.04
537237,85099B,4,2010-12-06 09:58:00,4.21,,United Kingdom,16.84
537237,85123A,2,2010-12-06 09:58:00,5.91,,United Kingdom,11.82
537238,85099B,5,2010-12-06 10:03:00,1.95,u16161,United Kingdom,9.75
537239,85123A,6,2010-12-06 10:05:00,2.95,u18219,United Kingdom,17.700000000000003
537239,84879,8,2010-12-06 10:05:00,1.69,u18219,United Kingdom,13.52
537240,22423,30,2010-12-06 10:08:00,12.72,,United Kingdom,381.6
537240,21212,5,2010-12-06 10:08:00,1.28,,United Kingdom,6.4
537240,22197,11,2010-12-06 10:08:00,1.66,,United Kingdom,18.259999999999998
537240,85099B,4,2010-12-06 10:08:00,4.21,,United Kingdom,16.84
537240,85123A,9,2010-12-06 10:08:00,5.91,,United Kingdom,53.19
537240,20725,2,2010-12-06 10:08:00,4.21,,United Kingdom,8.42
537240,20727,1,2010-12-06 10:08:00,4.21,,United Kingdom,4.21
537242,85123A,6,2010-12-06 10:19:00,2.95,u14748,United Kingdom,17.700000000000003
537252,22197,31,2010-12-06 10:46:00,0.85,,United Kingdom,26.349999999999998
537253,22197,29,2010-12-06 10:53:00,0.85,,United Kingdom,24.65
537265,22197,6,2010-12-06 11:26:00,0.85,u15919,United Kingdom,5.1
537265,22197,5,2010-12-06 11:26:00,0.85,u15919,United Kingdom,4.25
537262,22197,100,2010-12-06 11:26:00,0.72,u15039,United Kingdom,72.0
537262,85099B,10,2010-12-06 11:26:00,1.95,u15039,United Kingdom,19.5
537301,85123A,4,2010-12-06 11:38:00,2.95,u1586,United Kingdom,11.8
537313,22423,4,2010-12-06 11:42:00,12.75,u15304,United Kingdom,51.0
537332,22423,2,2010-12-06 11:58:00,12.75,u14344,United Kingdom,25.5
537332,85123A,24,2010-12-06 11:58:00,2.95,u14344,United Kingdom,70.80000000000001
537334,85123A,6,2010-12-06 12:06:00,2.95,u16719,United Kingdom,17.700000000000003
537346,84879,24,2010-12-06 12:21:00,1.69,u15301,United Kingdom,40.56
537354,85099B,6,2010-12-06 12:23:00,1.95,u12748,United Kingdom,11.7
537354,20725,2,2010-12-06 12:23:00,1.65,u12748,United Kingdom,3.3
537354,20727,2,2010-12-06 12:23:00,1.65,u12748,United Kingdom,3.3
537362,84879,8,2010-12-06 12:34:00,1.69,u17596,United Kingdom,13.52
537365,22423,3,2010-12-06 12:38:00,12.75,u15078,United Kingdom,38.25
537365,85099B,20,2010-12-06 12:38:00,1.95,u15078,United Kingdom,39.0
537369,85099B,1,2010-12-06 12:41:00,1.95,u1786,United Kingdom,1.95
537372,85099B,1,2010-12-06 12:52:00,1.95,u16919,United Kingdom,1.95
537374,22197,3,2010-12-06 12:55:00,0.85,u17259,United Kingdom,2.55
537385,22423,4,2010-12-06 13:22:00,12.75,u14487,United Kingdom,51.0
537387,22423,1,2010-12-06 13:34:00,12.75,u13468,United Kingdom,12.75
537388,85123A,12,2010-12-06 13:35:00,2.95,u17682,United Kingdom,35.400000000000006
537388,20725,20,2010-12-06 13:35:00,1.65,u17682,United Kingdom,33.0
537388,20727,20,2010-12-06 13:35:00,1.65,u17682,United Kingdom,33.0
537389,22197,10,2010-12-06 13:41:00,0.85,u17757,United Kingdom,8.5
537391,22423,3,2010-12-06 13:53:00,12.75,u1655,United Kingdom,38.25
537391,22197,25,2010-12-06 13:53:00,0.85,u1655,United Kingdom,21.25
537392,85099B,6,2010-12-06 13:58:00,1.95,u17068,United Kingdom,11.7
537392,20727,5,2010-12-06 13:58:00,1.65,u17068,United Kingdom,8.25
537392,20725,5,2010-12-06 13:58:00,1.65,u17068,United Kingdom,8.25
537393,85123A,32,2010-12-06 13:59:00,2.55,u13089,United Kingdom,81.6
537393,84879,48,2010-12-06 13:59:00,1.69,u13089,United Kingdom,81.12
537395,85123A,2,2010-12-06 14:05:00,2.95,u15356,United Kingdom,5.9
537396,84879,2,2010-12-06 14:08:00,1.69,u17223,United Kingdom,3.38
537396,84879,8,2010-12-06 14:08:00,1.69,u17223,United Kingdom,13.52
537396,22423,6,2010-12-06 14:08:00,12.75,u17223,United Kingdom,76.5
537400,85123A,6,2010-12-06 14:36:00,2.95,u17191,United Kingdom,17.700000000000003
537400,22423,1,2010-12-06 14:36:00,12.75,u17191,United Kingdom,12.75
537409,22423,4,2010-12-06 15:00:00,12.75,u15194,United Kingdom,51.0
537419,85123A,32,2010-12-06 15:14:00,2.55,u13495,United Kingdom,81.6
537420,47566,5,2010-12-06 15:18:00,4.65,u17519,United Kingdom,23.25
537421,22423,1,2010-12-06 15:25:00,12.75,u17218,United Kingdom,12.75
537421,84879,8,2010-12-06 15:25:00,1.69,u17218,United Kingdom,13.52
537424,85123A,6,2010-12-06 15:35:00,2.95,u15602,United Kingdom,17.700000000000003
537433,84879,8,2010-12-06 16:36:00,1.69,u12913,United Kingdom,13.52
537434,20725,4,2010-12-06 16:57:00,4.21,,United Kingdom,16.84
537434,21212,5,2010-12-06 16:57:00,1.28,,United Kingdom,6.4
537434,22197,20,2010-12-06 16:57:00,1.66,,United Kingdom,33.199999999999996
537434,22423,34,2010-12-06 16:57:00,12.72,,United Kingdom,432.48
537434,22423,1,2010-12-06 16:57:00,25.49,,United Kingdom,25.49
537434,47566,11,2010-12-06 16:57:00,8.47,,United Kingdom,93.17
537434,85123A,14,2010-12-06 16:57:00,5.91,,United Kingdom,82.74000000000001
537440,47566,1,2010-12-06 17:16:00,4.65,u17869,United Kingdom,4.65
537441,22423,2,2010-12-06 17:26:00,12.75,u13564,United Kingdom,25.5
537446,85123A,6,2010-12-07 09:13:00,2.95,u18055,United Kingdom,17.700000000000003
537457,84879,160,2010-12-07 09:51:00,1.45,u17511,United Kingdom,232.0
537457,85123A,32,2010-12-07 09:51:00,2.55,u17511,United Kingdom,81.6
537460,85123A,128,2010-12-07 10:04:00,2.55,u17616,United Kingdom,326.4
537462,20727,4,2010-12-07 10:06:00,1.65,u17228,United Kingdom,6.6
537464,84879,8,2010-12-07 10:14:00,1.69,u14907,United Kingdom,13.52
537465,20727,10,2010-12-07 10:32:00,1.65,u17735,United Kingdom,16.5
537470,22423,4,2010-12-07 10:47:00,12.75,u15018,United Kingdom,51.0
537476,85099B,300,2010-12-07 11:26:00,1.65,u15838,United Kingdom,495.0
537484,85123A,32,2010-12-07 11:30:00,2.55,u14733,United Kingdom,81.6
537489,22197,24,2010-12-07 11:33:00,0.85,u17017,United Kingdom,20.4
537523,85123A,6,2010-12-07 11:45:00,2.95,u14176,United Kingdom,17.700000000000003
537538,22423,6,2010-12-07 11:49:00,12.75,u15353,United Kingdom,76.5
537592,84879,64,2010-12-07 12:18:00,1.69,u17491,United Kingdom,108.16
537593,20727,20,2010-12-07 12:21:00,1.65,u14282,United Kingdom,33.0
537595,22197,5,2010-12-07 12:29:00,0.85,u13569,United Kingdom,4.25
537601,84879,7,2010-12-07 12:43:00,1.69,u17287,United Kingdom,11.83
537603,21212,24,2010-12-07 12:49:00,0.55,u14673,United Kingdom,13.200000000000001
537604,21212,24,2010-12-07 13:01:00,0.55,u13488,United Kingdom,13.200000000000001
